# Wavelength (microns), Flux(W/m^2/microns), Flux Error(W/m^2/microns), JWST Observing Mode
1.653629961818004,nan,nan,NIRSpec IFU g235h/f170lp
1.654025961806545,nan,nan,NIRSpec IFU g235h/f170lp
1.654421961795086,nan,nan,NIRSpec IFU g235h/f170lp
1.654817961783627,nan,nan,NIRSpec IFU g235h/f170lp
1.655213961772168,nan,nan,NIRSpec IFU g235h/f170lp
1.655609961760709,6.8739737224996015e-16,3.450760440560542e-17,NIRSpec IFU g235h/f170lp
1.65600596174925,6.808885171470305e-16,3.167498683885444e-17,NIRSpec IFU g235h/f170lp
1.656401961737791,6.999455174601648e-16,2.8057849354142196e-17,NIRSpec IFU g235h/f170lp
1.6567979617263322,6.885843366604098e-16,4.06890049102197e-17,NIRSpec IFU g235h/f170lp
1.657193961714873,7.0270729800223e-16,3.0937266982312246e-17,NIRSpec IFU g235h/f170lp
1.657589961703414,6.836226154281115e-16,2.3189116941903222e-17,NIRSpec IFU g235h/f170lp
1.657985961691955,6.886551332505883e-16,2.8322620659455244e-17,NIRSpec IFU g235h/f170lp
1.658381961680496,6.82805110685264e-16,2.8192530452306197e-17,NIRSpec IFU g235h/f170lp
1.658777961669037,6.796630970885218e-16,1.3260928623099238e-17,NIRSpec IFU g235h/f170lp
1.659173961657578,6.806168739085828e-16,1.9433552742575912e-17,NIRSpec IFU g235h/f170lp
1.659569961646119,6.594532527473805e-16,3.6830461886268566e-17,NIRSpec IFU g235h/f170lp
1.65996596163466,6.554630334740819e-16,3.8502439961948186e-17,NIRSpec IFU g235h/f170lp
1.660361961623201,6.748021618915112e-16,3.227092046977516e-17,NIRSpec IFU g235h/f170lp
1.660757961611742,6.867351380766657e-16,2.815971268475561e-17,NIRSpec IFU g235h/f170lp
1.661153961600283,6.85397176537369e-16,4.0567877023010594e-17,NIRSpec IFU g235h/f170lp
1.661549961588824,6.751307626876911e-16,1.290527459657339e-16,NIRSpec IFU g235h/f170lp
1.661945961577365,6.501198146881696e-16,1.2348352698850357e-16,NIRSpec IFU g235h/f170lp
1.662341961565906,6.622344269475698e-16,5.575643081360953e-17,NIRSpec IFU g235h/f170lp
1.662737961554447,6.774651024041647e-16,1.3583345885137515e-17,NIRSpec IFU g235h/f170lp
1.6631339615429883,6.869811267701934e-16,2.5166410941847215e-17,NIRSpec IFU g235h/f170lp
1.663529961531529,7.123661979422353e-16,2.77481036559545e-17,NIRSpec IFU g235h/f170lp
1.66392596152007,6.894171966593415e-16,3.917245238823207e-17,NIRSpec IFU g235h/f170lp
1.6643219615086111,6.877722555371937e-16,3.277119408188239e-17,NIRSpec IFU g235h/f170lp
1.6647179614971521,7.024959923037414e-16,3.053692845752251e-17,NIRSpec IFU g235h/f170lp
1.6651139614856931,7.226543260568365e-16,3.9983668737448043e-17,NIRSpec IFU g235h/f170lp
1.6655099614742341,7.102919002836212e-16,3.6141417597186595e-17,NIRSpec IFU g235h/f170lp
1.6659059614627751,7.07028437623601e-16,4.6412526521353644e-17,NIRSpec IFU g235h/f170lp
1.6663019614513161,6.701287169054294e-16,5.012361227665398e-17,NIRSpec IFU g235h/f170lp
1.6666979614398572,6.938788180265549e-16,3.847079734151749e-17,NIRSpec IFU g235h/f170lp
1.6670939614283982,6.938236715442135e-16,3.331132339529836e-17,NIRSpec IFU g235h/f170lp
1.6674899614169394,6.911191499209587e-16,3.0495538492408674e-17,NIRSpec IFU g235h/f170lp
